genre,avg_rating,total_ratings
"crime, horror, mystery",3.31,827
"action, horror, sci-fi, imax",3.31,8742
"comedy, horror, thriller",3.31,28816
"adventure, comedy, musical",3.3,10093
"adventure, comedy, thriller",3.3,1755
"comedy, horror, musical",3.3,8764
"action, adventure, crime",3.3,3860
"comedy, drama, romance, thriller",3.3,2108
"action, adventure, animation, children, comedy, romance",3.29,2936
"comedy, fantasy, mystery",3.29,1340
"action, adventure, comedy, romance",3.29,45537
"drama, fantasy, horror",3.29,3699
"children, comedy, drama",3.29,13926
crime,3.29,6927
"comedy, romance, sci-fi",3.29,4707
"adventure, children, drama, fantasy, imax",3.29,3244
"crime, drama, horror, mystery, thriller",3.29,9708
"comedy, sci-fi, thriller",3.29,924
"action, drama, sci-fi, thriller",3.28,47989
"drama, fantasy, horror, thriller",3.28,17987
"action, adventure, comedy, western",3.28,9602
"children, fantasy",3.28,3038
"action, adventure, fantasy, romance",3.28,1736
"action, drama, horror, imax",3.28,6144
"drama, horror, thriller",3.28,85296
"comedy, fantasy, horror",3.28,6587
"animation, comedy, horror, imax",3.28,890
"action, thriller",3.27,159909
"action, drama, sci-fi, imax",3.27,7752
"comedy, drama, mystery, thriller",3.27,788
"action, adventure, animation, children, sci-fi",3.27,5890
"romance, war",3.27,1419
"action, adventure, fantasy",3.26,137375
"action, comedy, western",3.26,7070
"horror, romance",3.26,2043
"action, comedy, romance",3.26,43630
"comedy, romance, thriller",3.26,12094
"action, adventure, sci-fi, thriller, imax",3.26,61846
comedy,3.25,1512682
"adventure, animation",3.25,900
"adventure, romance, sci-fi, imax",3.25,3939
"action, horror, sci-fi",3.25,43426
"action, adventure, comedy, drama, romance",3.25,749
"animation, children, fantasy, mystery",3.25,1880
"adventure, children, musical",3.25,6110
romance,3.25,17256
"sci-fi, thriller",3.24,36081
"adventure, animation, children, musical",3.24,4556
"action, thriller, war",3.24,11311
"action, adventure, fantasy, horror",3.24,22081
"action, fantasy, horror, thriller",3.24,16571
"action, adventure, animation, fantasy, sci-fi",3.23,2921
"action, drama",3.23,86629
"action, adventure, fantasy, sci-fi",3.23,30868
"adventure, comedy, romance",3.23,14931
"adventure, comedy, crime, thriller",3.23,557
"action, adventure, crime, thriller",3.23,26769
"comedy, musical, western",3.23,804
"children, comedy, fantasy, sci-fi",3.23,1884
"animation, children",3.23,34049
"adventure, sci-fi, thriller",3.22,8817
"adventure, animation, fantasy, imax",3.22,1044
"crime, drama, horror, thriller",3.22,2790
"children, musical",3.22,3810
"action, adventure, children, mystery, sci-fi",3.22,1952
"action, comedy, sci-fi, thriller",3.22,923
"comedy, horror, sci-fi",3.21,15043
"drama, war, western",3.21,739
"action, adventure, romance, thriller",3.21,33892
"animation, children, drama, fantasy, imax",3.21,988
"fantasy, mystery, thriller",3.21,690
"adventure, war",3.21,1241
"action, drama, thriller, imax",3.21,2528
"comedy, mystery",3.21,8405
"horror, mystery, sci-fi",3.2,4643
"action, adventure, comedy, fantasy, horror, thriller",3.2,19483
"action, drama, romance, sci-fi",3.2,7917
"comedy, drama, horror",3.2,1527
"adventure, horror, sci-fi",3.2,1195
"horror, western",3.2,3549
"action, comedy, horror, thriller",3.2,16920
"action, comedy, crime",3.2,48855
"action, adventure, comedy",3.2,76794
"comedy, fantasy, sci-fi",3.19,16675
"action, animation",3.19,933
"crime, drama, fantasy, horror, thriller",3.18,1215
"adventure, children, comedy, fantasy, imax",3.18,12503
"crime, musical",3.18,560
"animation, comedy, sci-fi",3.18,785
"adventure, drama, war, western",3.18,1301
"adventure, sci-fi",3.18,29632
"adventure, thriller",3.18,1617
"adventure, animation, comedy, fantasy, imax",3.18,1723
"adventure, drama, romance",3.17,15338
"comedy, mystery, romance",3.17,836
"action, adventure, drama, romance, war",3.17,2870
"adventure, animation, children, comedy, fantasy, sci-fi, imax",3.17,3115
"action, comedy, crime, fantasy",3.17,35353
"action, adventure, comedy, war",3.17,9948
"horror, sci-fi, thriller",3.17,90572
"action, adventure, comedy, crime",3.16,55153
"children, fantasy, musical",3.16,1478
"adventure, animation, children, western",3.16,1204
"action, comedy, crime, drama, thriller",3.16,21781
"adventure, thriller, western",3.16,704
"fantasy, horror, mystery, thriller",3.16,5463
"action, comedy, crime, thriller",3.16,80655
"action, fantasy, horror, imax",3.15,2881
"action, horror, thriller",3.15,27600
"action, adventure, comedy, crime, fantasy",3.14,7570
"animation, fantasy, musical, imax",3.14,1068
"action, crime, horror, thriller",3.14,641
"children, comedy, drama, fantasy",3.14,712
"romance, thriller",3.14,5000
"action, comedy, thriller",3.14,9990
"action, drama, horror, sci-fi, thriller",3.14,2134
"action, adventure, drama, imax",3.14,544
"comedy, crime, romance, thriller",3.13,1047
"action, adventure, drama, fantasy, thriller",3.13,9980
"action, crime, thriller, imax",3.12,5280
"adventure, comedy",3.12,106400
"action, comedy, drama",3.12,7573
"action, adventure, fantasy, romance, imax",3.12,3093
"adventure, comedy, western",3.12,28823
"action, adventure, comedy, horror",3.12,655
"drama, fantasy, mystery, thriller",3.12,1073
"adventure, children, comedy, fantasy, musical",3.11,1990
"animation, sci-fi, imax",3.11,2443
"animation, children, drama, musical, romance",3.1,24137
"children, comedy, romance",3.1,16692
"action, comedy",3.1,140121
"adventure, children, comedy, drama",3.1,2588
"action, horror, sci-fi, thriller",3.1,63864
horror,3.1,186534
"drama, fantasy, horror, mystery, thriller",3.1,3097
adventure,3.09,5040
"adventure, comedy, horror",3.09,1319
"action, crime, drama, sci-fi, thriller",3.09,20043
"adventure, animation, fantasy, sci-fi",3.09,7125
"action, drama, romance, thriller",3.09,3152
"action, crime, horror, mystery, thriller",3.08,814
"drama, horror, romance, thriller",3.08,5612
"horror, mystery, thriller",3.08,75777
"action, drama, mystery",3.08,3980
"comedy, horror",3.08,108366
"crime, drama, musical, thriller",3.07,529
"action, adventure, animation, children, comedy, sci-fi",3.07,3876
"action, thriller, western",3.07,6870
"comedy, sci-fi",3.07,98985
"action, crime, fantasy, sci-fi, thriller",3.07,1439
"comedy, crime, horror",3.06,5583
"action, comedy, war",3.06,15065
"action, romance, sci-fi, thriller",3.05,30966
"action, comedy, fantasy, imax",3.05,6052
"action, adventure, drama, romance",3.04,1807
"adventure, children, comedy, fantasy",3.04,10185
"animation, children, comedy, drama, fantasy",3.04,2654
"comedy, fantasy, horror, thriller",3.04,4984
"action, crime, horror",3.03,2586
"adventure, animation, children, musical, western",3.03,2179
"action, adventure, comedy, thriller",3.02,14404
"adventure, drama, fantasy, romance",3.02,6198
"adventure, children",3.02,35634
"action, drama, fantasy",3.02,2402
"action, comedy, fantasy",3.01,9305
"action, children, drama",3.01,1815
"action, children, sci-fi, imax",3.0,840
"action, comedy, imax",3.0,2382
"action, crime, sci-fi",3.0,29341
"adventure, animation, comedy, fantasy",2.99,623
"drama, fantasy, mystery, romance, thriller",2.98,826
"horror, thriller",2.98,174353
"action, drama, war, imax",2.97,1576
"action, war",2.97,12822
"adventure, animation, children, comedy, imax",2.97,6532
"comedy, horror, mystery, thriller",2.97,31431
"adventure, animation, comedy, crime",2.96,8407
"children, comedy, fantasy",2.96,82164
"action, adventure, crime, sci-fi, thriller",2.96,634
"action, adventure, western, imax",2.95,1634
action,2.94,42276
"action, adventure, fantasy, mystery",2.94,3814
"comedy, horror, romance",2.94,4368
"action, adventure, drama, sci-fi",2.94,15927
"action, adventure, drama, thriller, war",2.93,867
"action, comedy, documentary",2.93,4991
"comedy, thriller",2.91,26789
"adventure, comedy, drama, fantasy, romance",2.91,5279
"comedy, romance, sci-fi, thriller",2.91,608
"action, fantasy, thriller, imax",2.91,2436
"fantasy, horror",2.9,6252
"children, comedy, fantasy, horror",2.9,3714
"action, crime, sci-fi, imax",2.9,1782
"action, adventure, comedy, fantasy, mystery",2.89,3805
"children, comedy, mystery",2.89,1922
"comedy, horror, imax",2.89,1734
"children, comedy",2.89,135968
"horror, thriller, imax",2.88,644
"fantasy, musical, romance",2.88,909
"action, animation, comedy, crime, drama, romance, thriller",2.87,1388
"action, adventure, animation, fantasy, imax",2.87,2645
"drama, horror, mystery, sci-fi, thriller",2.87,2447
